,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
4451,Phương tiện vận tải khác và PT,40,,200.99331099999998,-37.018334898746154,2015-05-29,2015-05,2015-04,0.0
4452,TỔNG TRỊ GIÁ,14400,,53103.437276,19.87774509645874,2015-04-29,2015-04,2015-03,8.27067669172932
4453,Khu vực kinh tế trong nước,5700,,20745.607144999998,9.362753274521054,2015-04-29,2015-04,2015-03,11.764705882352942
4454,Khu vực có vốn đầu tư NN,8700,,32357.830131,27.752859902209877,2015-04-29,2015-04,2015-03,6.097560975609767
4455,Thủy sản,100,,362.567604,4.643394057159725,2015-04-29,2015-04,2015-03,-23.076923076923066
4456,Sữa và sản phẩm sữa,100,,336.180097,-6.743341068555509,2015-04-29,2015-04,2015-03,11.111111111111114
4457,Rau quả,40,,150.02861000000001,21.536357902267085,2015-04-29,2015-04,2015-03,14.285714285714278
4458,Lúa mỳ,56.49781177517982,,226.39111777517982,3.0618485513179934,2015-04-29,2015-04,2015-03,3.399135886798561
4459,Dầu mỡ động thực vật,70,,238.678512,7.724633268972724,2015-04-29,2015-04,2015-03,27.272727272727266
4460,Thức ăn gia súc và NPL,320,,1165.116654,27.45824244437604,2015-04-29,2015-04,2015-03,28.0
4461,Xăng dầu,497.9879457776809,,1898.218512777681,-31.084399803910372,2015-04-29,2015-04,2015-03,-0.4024108444638159
4462,Khí đốt hóa lỏng,66.22544081304379,,200.43476581304378,3.199306219884207,2015-04-29,2015-04,2015-03,-20.291790034007278
4463,Sản phẩm khác từ dầu mỏ,100,,362.800912,11.813978891792857,2015-04-29,2015-04,2015-03,25.0
4464,Hóa chất,320,,1022.389702,2.219456403553096,2015-04-29,2015-04,2015-03,14.285714285714278
4465,Sản phẩm hoá chất,300,,1065.8175569999999,13.652782440335926,2015-04-29,2015-04,2015-03,3.448275862068968
4466,Tân dược,210,,665.430576,8.089487882527195,2015-04-29,2015-04,2015-03,5.0
4467,Phân bón,108.18604915441595,,365.561407154416,1.2621022488329885,2015-04-29,2015-04,2015-03,35.41799709208294
4468,Thuốc trừ sâu,75,,275.78207699999996,4.428564801421857,2015-04-29,2015-04,2015-03,7.142857142857139
4469,Chất dẻo,526.6198386549437,,1862.8332706549436,-2.2850382736713613,2015-04-29,2015-04,2015-03,4.23387343235602
